region_code,region_name,city_code,city_name,street_code,street_name,street_name_status,official_code
31,חיפה,4000,חיפה,9762,כהן אלי,synonym of 187,187
31,חיפה,4000,חיפה,188,יבנאלי שמואל,official,188
31,חיפה,4000,חיפה,9763,יבנאלי,synonym of 188,188
31,חיפה,4000,חיפה,9764,רח כה ק חיים,synonym of 188,188
31,חיפה,4000,חיפה,9765,רח כה,synonym of 188,188
31,חיפה,4000,חיפה,9766,יבניאלי,synonym of 188,188
31,חיפה,4000,חיפה,189,כאהן יעקב,official,189
31,חיפה,4000,חיפה,9767,כהן יעקב,synonym of 189,189
31,חיפה,4000,חיפה,9768,יעקב כהן,synonym of 189,189
31,חיפה,4000,חיפה,9769,כאהן,synonym of 189,189
31,חיפה,4000,חיפה,9770,רח כו ק חיים,synonym of 189,189
31,חיפה,4000,חיפה,9771,רח כו,synonym of 189,189
31,חיפה,4000,חיפה,9772,יעקב כאהן,synonym of 189,189
31,חיפה,4000,חיפה,190,דרך צייזל ירוחם,official,190
31,חיפה,4000,חיפה,9773,צייזל ירוחם,synonym of 190,190
31,חיפה,4000,חיפה,9774,רח 2516,synonym of 190,190
31,חיפה,4000,חיפה,9775,ירוחם צייזל,synonym of 190,190
31,חיפה,4000,חיפה,191,בר יהודה ישראל,official,191
31,חיפה,4000,חיפה,9776,נצרת דרך,synonym of 191,191
31,חיפה,4000,חיפה,9777,בר יהודה דרך,synonym of 191,191
31,חיפה,4000,חיפה,9778,דרך נצרת,synonym of 191,191
31,חיפה,4000,חיפה,9779,בר יהודה,synonym of 191,191
31,חיפה,4000,חיפה,9780,בר-יהודה,synonym of 191,191
31,חיפה,4000,חיפה,9781,דרך בר יהודה,synonym of 191,191
31,חיפה,4000,חיפה,192,"מקלף מרדכי רא""ל",official,192
31,חיפה,4000,חיפה,9782,מצה זו,synonym of 192,192
31,חיפה,4000,חיפה,9783,עכו כביש,synonym of 192,192
31,חיפה,4000,חיפה,9784,מקלף,synonym of 192,192
31,חיפה,4000,חיפה,9785,מרדכי מקלף,synonym of 192,192
31,חיפה,4000,חיפה,9786,עכו דרך,synonym of 192,192
31,חיפה,4000,חיפה,9787,מקלף מרדכי,synonym of 192,192
31,חיפה,4000,חיפה,9788,"רא""ל מרדכי מקלף",synonym of 192,192
